dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Parietal area PFcm,low_confidence,0.58735,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PFcm,parietal lobe,,1.0,parietal operculum,0.50735,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 46,needs_review,0.629168,HOMBA:10184,"rostroventral division of DFC (area 46, DFCv)",bm25+fuzzy+hierarchy_parent,Prefrontal area 46,area 46,,1.0,dorsolateral prefrontal cortex,0.609884,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PF,needs_review,0.661335,HOMBA:10226,"rostral division of IPC (IPCr, area 40, area PF)",bm25+fuzzy,Parietal area PF,area PF,,1.0,parietal lobe,0.580856,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 3a,needs_review,0.665067,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,somatosensory cortex 3a,somatosensory cortex,,1.0,somatosensory radiation,0.540332,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 3b,needs_review,0.665067,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,somatosensory cortex 3b,somatosensory cortex,,1.0,somatosensory radiation,0.540332,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V3A,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v3a,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.509601,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V3B,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v3b,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.509601,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V4,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v4,visual cortex,,1.0,ventral fourth visual area (V4V),0.5375,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V6A,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v6a,visual cortex,,1.0,"sixth visual area V6 , part A",0.556725,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V8,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v8,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.52175,D_homba_gap,HOMBA lacks this granularity
corpus,A8 catecholaminergic cell group,needs_review,0.674151,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A8 catecholaminergic cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.505414,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 1,needs_review,0.679416,HOMBA:AA30014,area 1 of primary somatosensory cortex,bm25+fuzzy,somatosensory cortex 1,area 1 of somatosensory cortex,,1.0,subareas of primary somatosensory cortex,0.653098,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 2,needs_review,0.679416,HOMBA:AA30015,area 2 of primary somatosensory cortex,bm25+fuzzy,somatosensory cortex 2,area 2 of somatosensory cortex,,1.0,subareas of primary somatosensory cortex,0.653098,D_homba_gap,HOMBA lacks this granularity
species,Frontal association area 3,low_confidence,0.304528,HOMBA:12113,frontal lobe,bm25+hierarchy_parent,Frontal association area 3,frontal lobe,,1.0,area 3 of primary somatosensory cortex,0.266446,D_homba_gap,HOMBA lacks this granularity
species,"Primary somatosensory area, barrel field",low_confidence,0.314206,HOMBA:AA30880,barrel field of S1fm (rodents),bm25,"Primary somatosensory area, barrel field",barrel field of S1fm,,1.0,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",0.287974,D_homba_gap,HOMBA lacks this granularity
species,Spiral ganglion,low_confidence,0.325676,HOMBA:10332,basal ganglia (basal nuclei),fuzzy,Spiral ganglion,basal ganglia,,1.0,,,D_homba_gap,HOMBA lacks this granularity
species,Vestibular apparatus,low_confidence,0.450809,HOMBA:12448,vestibular nuclei in pons,bm25+fuzzy+hierarchy_parent,Vestibular apparatus,vestibular nucleus,,1.0,vestibular nuclei in medulla,0.399762,D_homba_gap,HOMBA lacks this granularity
species,Cochlea,low_confidence,0.46225,HOMBA:12437,cochlear nuclei,fuzzy,Cochlea,cochlear nuclei,,1.0,olivocochlear bundle,0.45,D_homba_gap,HOMBA lacks this granularity
