structure_name,dataset,rcs_score,rcs_review_flag,rcs_candidate_homba_id,rcs_candidate_name,rcs_methods
Middle occipital gyrus,corpus,1.0000,high_confidence,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy
Inferior occipital gyrus,corpus,1.0000,high_confidence,HOMBA:12153,inferior occipital gyrus,bm25+exact+fuzzy
Cuneus,corpus,1.0000,high_confidence,HOMBA:12150,cuneus (gyrus),bm25+exact+fuzzy
Calcarine fissure and surrounding cortex,corpus,0.5750,low_confidence,HOMBA:10612,calcarine sulcus (fissure),bm25+fuzzy+hierarchy_parent
Lingual gyrus,corpus,1.0000,high_confidence,HOMBA:12151,lingual gyrus,bm25+exact+fuzzy
Fusiform gyrus,corpus,1.0000,high_confidence,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,bm25+exact+fuzzy
Temporal pole (superior temporal gyrus),corpus,1.0000,high_confidence,HOMBA:12140,superior temporal gyrus,bm25+exact+fuzzy
Temporal pole (middle temporal gyrus),corpus,1.0000,high_confidence,HOMBA:12141,middle temporal gyrus,bm25+exact+fuzzy
Anterior cingulate and paracingulate gyri,corpus,0.4530,low_confidence,HOMBA:146034872,paracingulate gyrus,bm25+fuzzy
Median cingulate and paracingulate gyri,corpus,0.4585,low_confidence,HOMBA:146034872,paracingulate gyrus,bm25+fuzzy
Posterior cingulate gyrus,corpus,1.0000,high_confidence,HOMBA:10285,posterior cingulate cortex (PCC),bm25+exact+fuzzy
Hippocampus,corpus,1.0000,high_confidence,HOMBA:AA30093,hippocampus,bm25+exact+fuzzy
Parahippocampal gyrus,corpus,1.0000,high_confidence,HOMBA:12162,parahippocampal gyrus,bm25+exact+fuzzy+hierarchy_parent
Insula,corpus,1.0000,high_confidence,HOMBA:12176,insular lobe,bm25+exact+fuzzy+hierarchy_parent
Amygdala,corpus,1.0000,high_confidence,HOMBA:10361,amygdaloid complex,bm25+exact+fuzzy
Caudate nucleus,corpus,1.0000,high_confidence,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),bm25+exact+fuzzy+hierarchy_parent
Lenticular nucleus (putamen),corpus,1.0000,high_confidence,HOMBA:10338,putamen (lateroventral division of the CP),bm25+exact+fuzzy
Lenticular nucleus (pallidum),corpus,1.0000,high_confidence,HOMBA:10464,reticular nucleus of thalamus,bm25+exact+fuzzy
Thalamus,corpus,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Putamen,corpus,1.0000,high_confidence,HOMBA:10338,putamen (lateroventral division of the CP),bm25+exact+fuzzy+hierarchy_parent
External globus pallidus,corpus,1.0000,high_confidence,HOMBA:10343,external division of globus pallidus,bm25+fuzzy
Internal globus pallidus,corpus,0.9386,high_confidence,HOMBA:10342,globus pallidus (paleostriatum),bm25+fuzzy+hierarchy_parent
Nucleus accumbens,corpus,1.0000,high_confidence,HOMBA:10339,nucleus accumbens,bm25+exact+fuzzy+hierarchy_parent
Zona incerta,corpus,1.0000,high_confidence,HOMBA:10463,zona incerta,bm25+exact+fuzzy
Anterior thalamic nucleus,corpus,1.0000,high_confidence,HOMBA:10392,anterior nuclear complex of thalamus,bm25+exact+fuzzy
Ventral anterior thalamic nucleus,corpus,0.9100,high_confidence,HOMBA:10392,anterior nuclear complex of thalamus,bm25+fuzzy
Ventral lateral thalamic nucleus,corpus,1.0000,high_confidence,HOMBA:AA30339,ventral anterior hypothalamic nucleus,bm25+exact+fuzzy
Ventralis intermedius,corpus,1.0000,high_confidence,HOMBA:10420,ventral lateral nucleus of thalamus,bm25+exact+fuzzy
