lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
subcallosal gyrus,1,BG,Basal Ganglia,Subcortical Nuclei,0.4286,0.1842,3.0,4,7.0,17.01,17,3,0.1843
subcallosal gyrus,2,OrG,Orbital Gyrus,Frontal Lobe,0.4286,0.1842,3.0,3,7.0,17.01,17,3,0.1843
subcallosal gyrus,3,CG,Cingulate Gyrus,Limbic Lobe,0.1429,0.0789,1.0,1,7.0,17.01,17,3,0.1843
subcallosal gyrus 34,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcallosal gyrus wm,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcc,1,OrG,Orbital Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcentral gyrus,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcentral gyrus and sulcus,1,PoG,Postcentral Gyrus,Parietal Lobe,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
subcentral gyrusb,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcortex white matter,1,Pcun,Precuneus,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcortical,1,Tha,Thalamus,Subcortical Nuclei,0.4286,0.1842,3.0,3,7.0,18.06,17,4,0.1843
subcortical,2,BG,Basal Ganglia,Subcortical Nuclei,0.2857,0.1316,2.0,4,7.0,18.06,17,4,0.1843
subcortical,3,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.1429,0.0789,1.0,2,7.0,18.06,17,4,0.1843
subcortical,4,OrG,Orbital Gyrus,Frontal Lobe,0.1429,0.0789,1.0,1,7.0,18.06,17,4,0.1843
subcortical ifg,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
sube,1,Amyg,Amygdala,Subcortical Nuclei,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
sube,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
sube,3,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
subgenual acc,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
subgenual acc ba 25,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
subgenual acca,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
subgenual acca,2,OrG,Orbital Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
subgenual anterior cingulate cortex,1,OrG,Orbital Gyrus,Frontal Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
subgenual anterior cingulate cortex,2,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
subgenual anterior cingulate cortex ba 25,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
subgenual anterior cingulate cortex ba 25,2,OrG,Orbital Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
subgenual cingulate,1,OrG,Orbital Gyrus,Frontal Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
subgenual cingulate,2,CG,Cingulate Gyrus,Limbic Lobe,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
subgenual cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
subgenual cortex,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subgenual prefrontal cortex,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subgenual vmpfc,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subgyral,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subgyral grey matter 37,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subgyral temporal,1,Hipp,Hippocampus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subiculum,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sublobar insula,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sublobular,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subparietal sulcus,1,Pcun,Precuneus,Parietal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
substantia nigra,1,Tha,Thalamus,Subcortical Nuclei,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
substantia nigra,2,Hipp,Hippocampus,Subcortical Nuclei,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
subthalamic nucleus,1,Tha,Thalamus,Subcortical Nuclei,0.8889,0.4048,8.0,8,9.0,12.33,16,2,0.4049
subthalamic nucleus,2,BG,Basal Ganglia,Subcortical Nuclei,0.1111,0.0714,1.0,1,9.0,12.33,16,2,0.4049
subthamic nucleus,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sulcus,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
sulcus,2,PrG,Precentral Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
sulcus intermedius primus of jensen,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
sup and mid fr gy,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sup and mid temporal,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sup fr gy,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,8,3.0,21.57,18,3,0.1001
sup fr gy,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,3,3.0,21.57,18,3,0.1001
sup fr gy,3,PrG,Precentral Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
