lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
parahippocampal gyrus ba 36,3,FuG_L(R)_3_1,A20rv,rostroventral area 20,FuG,103,104,1,1,0.1,0.1429,0.03333,7,16
parahippocampal gyrus ba 36,4,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.1,0.1429,0.03333,7,16
parahippocampal gyrus ba 36,5,PhG_L(R)_6_6,TH,area TH (medial PPHC),PhG,119,120,1,1,0.1,0.1429,0.03333,7,16
parahippocampal gyrus ba 37,1,FuG_L(R)_3_2,A37mv,medioventral area 37,FuG,105,106,1,1,0.6,1.0,0.2,1,3
parahippocampal gyrus limbic lobe,1,CG_L(R)_7_4,A23v,ventral area 23,CG,181,182,1,1,0.3333,1.0,0.11111,1,7
parahippocampal gyrusa,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.2727,0.5,0.09091,2,7
parahippocampal gyrusa,2,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,1,1,0.2727,0.5,0.09091,2,7
parahippocampale gyrus,1,FuG_L(R)_3_2,A37mv,medioventral area 37,FuG,105,106,1,1,0.3333,0.5,0.11111,2,5
parahippocampale gyrus,2,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.3333,0.5,0.11111,2,5
parahippocampalgyrus,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,1,1,0.375,0.5,0.125,2,4
parahippocampalgyrus,2,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,1,1,0.375,0.5,0.125,2,4
parahippocampus,1,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,8,9,0.1771,0.2857,0.01042,28,40
parahippocampus,2,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,5,6,0.1146,0.1786,0.01042,28,40
parahippocampus,3,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,2,3,0.0521,0.0714,0.01042,28,40
parahippocampus,4,CG_L(R)_7_4,A23v,ventral area 23,CG,181,182,2,2,0.0521,0.0714,0.01042,28,40
parahippocampus,5,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),PhG,117,118,2,2,0.0521,0.0714,0.01042,28,40
parahippocampus,6,PhG_L(R)_6_3,TL,area TL (lateral PPHC),PhG,113,114,1,3,0.0312,0.0357,0.01042,28,40
parahippocampus,7,BG_L(R)_6_2,GP,globus pallidus,BG,221,222,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,8,INS_L(R)_6_1,G,hypergranular insula,INS,163,164,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,9,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,MVOcC,195,196,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,10,PhG_L(R)_6_1,A35/36r,rostral area 35/36,PhG,109,110,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,11,PhG_L(R)_6_2,A35/36c,caudal area 35/36,PhG,111,112,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,12,PhG_L(R)_6_6,TH,area TH (medial PPHC),PhG,119,120,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,13,STG_L(R)_6_1,A38m,medial area 38,STG,69,70,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus,14,STG_L(R)_6_3,TE1.0 and TE1.2,TE1.0 and TE1.2,STG,73,74,1,1,0.0312,0.0357,0.01042,28,40
parahippocampus gyrus,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.6,1.0,0.2,1,3
parahippoccampal gyrus,1,Tha_L(R)_8_6,Otha,occipital thalamus,Tha,241,242,1,1,0.3,1.0,0.1,1,8
parahoppocampal cortex,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.75,1.0,0.25,1,2
parietal,1,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,5,6,0.0579,0.0758,0.00526,66,58
parietal,2,IPL_L(R)_6_6,A40rv,rostroventral area 40(PFop),IPL,145,146,5,6,0.0579,0.0758,0.00526,66,58
parietal,3,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,4,6,0.0474,0.0606,0.00526,66,58
parietal,4,PoG_L(R)_4_4,A1/2/3tru,area 1/2/3(trunk region),PoG,161,162,4,6,0.0474,0.0606,0.00526,66,58
parietal,5,PCun_L(R)_4_4,A31,area 31 (Lc1),Pcun,153,154,4,5,0.0474,0.0606,0.00526,66,58
parietal,6,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),IPL,139,140,4,4,0.0474,0.0606,0.00526,66,58
parietal,7,PCun_L(R)_4_3,dmPOS,dorsomedial parietooccipital sulcus(PEr),Pcun,151,152,4,4,0.0474,0.0606,0.00526,66,58
parietal,8,PoG_L(R)_4_1,A1/2/3ulhf,"area 1/2/3(upper limb, head and face region)",PoG,155,156,3,6,0.0368,0.0455,0.00526,66,58
parietal,9,SPL_L(R)_5_5,A7ip,intraparietal area 7(hIP3),SPL,133,134,3,6,0.0368,0.0455,0.00526,66,58
parietal,10,PrG_L(R)_6_1,A4hf,area 4(head and face region),PrG,53,54,3,4,0.0368,0.0455,0.00526,66,58
parietal,11,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,2,2,0.0263,0.0303,0.00526,66,58
parietal,12,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,2,2,0.0263,0.0303,0.00526,66,58
parietal,13,PCL_L(R)_2_1,A1/2/3ll,area 1/2/3 (lower limb region),PCL,65,66,2,2,0.0263,0.0303,0.00526,66,58
parietal,14,PoG_L(R)_4_2,A1/2/3tonIa,area 1/2/3(tongue and larynx region),PoG,157,158,2,2,0.0263,0.0303,0.00526,66,58
