name_core,alias_core,n_papers,n_rows
calcarine fissure and surrounding cortex,cal,1,1
calcarine gyrus,area 17,1,1
caudal intraparietal sulcus,cips,1,1
amygdala,roi,1,4
caudate,all,1,1
caudate,cau,1,1
caudate,caudate body,1,1
cerebellum,crus i,1,1
caudate,head body,1,1
caudate,head body tail,1,2
caudate,roi,1,1
caudate,tail,1,1
caudate body,roi,1,1
caudate body,wb,1,1
caudate head,roi,1,1
caudate nucleus,lobe,1,1
cereb,lob viia crus i,1,1
cerebellum,anterior lobe,1,2
cerebellum,anterior lobe culmen,1,1
cerebellum,cr i,1,1
caudate,dorsal striatum,1,1
medial frontal gyrus,dlpfc,1,1
medial frontal gyrus,dmpfc,1,4
medial frontal gyrus,frontal lobe,1,1
medial frontal gyrus,il,1,1
medial frontal gyrus,mefg,1,1
medial frontal gyrus,mfg,1,1
medial frontal gyrus,pre sma sma proper,1,6
medial frontal gyrus,rmefg,1,1
medial frontal gyrus,sma,1,2
medial frontal gyrus,sma pre sma,1,1
medial frontal gyrus,supplementary motor area,1,1
inferior frontal gyrus,il,1,2
medial frontal gyrus 6,pre sma,1,1
medial globus pallidus,internal,1,1
medial ofc,svc,1,5
medial orbital frontal gyrus,roi,1,1
medial orbital frontal gyrus,wb,1,1
medial orbitofrontal cortex,mofc,1,1
medial orbitofrontal gyrus,rmofg,1,1
medial parietal cortex,precuneus,1,1
medial prefrontal cortex,pfc,1,1
mediodorsal thalamus,mdthal,1,1
mfg,ba 9 dlpfc,1,1
medial frontal gyrus,vmpfc,1,4
lateral orbitofrontal ctx,lofc,1,1
lateral parietal,lp,1,1
lateral parietal,rp,1,1
lateral prefrontal cortex medial prefrontal cortex orbitofrontal cortex anterior cingulate cortex,acc,1,2
lateral prefrontal cortex medial prefrontal cortex orbitofrontal cortex anterior cingulate cortex,lpfc,1,2
lateral prefrontal cortex medial prefrontal cortex orbitofrontal cortex anterior cingulate cortex,mpfc,1,2
lateral prefrontal cortex medial prefrontal cortex orbitofrontal cortex anterior cingulate cortex,ofc,1,2
lateral superior temporal gyrus,stg,1,1
lateral temporal cortex,eba,1,2
lateral temporal occipital cortex,toc,1,1
lentiform nucleus,lateral globus pallidus,1,1
medial frontal gyrus,central,1,1
lifg ba 45,and 47,1,2
lingual gyrus,area 17,1,1
lingual gyrus,area 18,1,1
lingual gyrus,lg,1,2
lingual gyrus,occipital lobe,1,1
lpmtg,ag,1,1
m1,handknob ba 4,1,1
m1,medial,1,1
mammillary body,thalamus,1,1
medial frontal gyrus,ba 10,1,1
medial frontal gyrus,ba 6,1,1
lentiform nucleus,putamen,1,1
middle frontal gyrus,midfg,1,1
middle frontal gyrus,posterior,1,3
middle frontal gyrus,pre sma sma,1,2
middle frontal gyrus,rmfg,1,1
middle frontal gyrus,roi,1,1
middle frontal gyrus,sma ba 6,1,1
middle frontal gyrus,ventral,1,1
middle frontal gyrus,vlpfc,1,1
middle frontal precentral gyrus,vpm,1,1
middle frontalgyrus,caudal,1,2
middle frontalgyrus,midfg,1,1
mfg,dlpfc,1,1
middle occipital gyrus,ab17,1,1
middle occipital gyrus,area v5,1,1
middle occipital gyrus,calcarine fissure,1,1
middle occipital gyrus,hoc3v,1,1
middle occipital gyrus,ipc,1,1
middle occipital gyrus,rmog,1,1
middle occipital gyrus,secondary visual cortex,1,4
middle occipital gyrus,v5,1,1
middle temporal gyrus,39,1,1
middle temporal gyrus,anterior,1,1
middle temporal gyrus,hmt,1,1
middle frontalgyrus,rostral,1,3
mfg,dlpfc ba 6 8 9,1,1
mfg,dlpfc ba 9,1,1
mid fg,loa,1,1
mid temporal gyrus,posterior,1,1
midbrain,substantia nigra,1,1
middle and superior temporal gyrus,anterior,1,1
middle frontal,dorsolateral prefrontal,1,2
middle frontal g,dlpfc,1,1
middle frontal gyrus,anterior,1,4
middle frontal gyrus,apfc,1,1
middle frontal gyrus,area 45,1,1
middle frontal gyrus,mid dlpfc,1,1
middle frontal gyrus,ba 44,1,2
middle frontal gyrus,ba 6,1,1
middle frontal gyrus,ba 6 lobe,1,1
middle frontal gyrus,ba 8,1,1
middle frontal gyrus,cl,1,2
middle frontal gyrus,dlpfc ba 46,1,1
middle frontal gyrus,dorsal,1,1
middle frontal gyrus,frontal lobe,1,3
middle frontal gyrus,il,1,2
middle frontal gyrus,lobe,1,2
middle frontal gyrus,lpfc,1,2
and thalamus,anterior nucleus,1,1
middle frontal gyrus,area 6,1,2
inferior occipital gyrus,v3v,1,1
inferior occipitalgyrus,ofa,1,1
inferior parietal angular gyrus,ag,1,1
inferior parietal cortex,area 39,1,1
inferior parietal cortex,area 39 40,1,2
inferior parietal cortex,area 40,1,1
inferior parietal cortex,sts,1,2
inferior parietal lobule,40,1,2
inferior parietal lobule,aips,1,1
inferior parietal lobule,angular gyrus,1,2
inferior parietal lobule,angular supramarginal gyrus,1,1
lateral occipitalcortex,loc,1,1
inferior parietal lobule,area 2,1,1
inferior parietal lobule,hip2,1,2
inferior parietal lobule,il,1,1
inferior parietal lobule,ipc,1,1
inferior parietal lobule,l40,1,1
inferior parietal lobule,pfm,1,1
inferior parietal lobule,pfop,1,1
inferior parietal lobule,s1,1,1
inferior parietal lobule,smg,1,1
inferior parietal lobule,spl,1,1
inferior parietal lobule,supramarginal gyrus,1,1
inferior parietal lobule,anterior,1,1
inferior frontal gyrus,lifg,1,1
inferior frontal gyrus,lpfc,1,2
inferior frontal gyrus,oper,1,3
inferior frontal gyrus,opercularis,1,1
inferior frontal gyrus,operculum,1,1
inferior frontal gyrus,orbitalis,1,1
inferior frontal gyrus,orbitofrontal cortex,1,1
inferior frontal gyrus,p oper,1,3
inferior frontal gyrus,p orb,1,1
inferior frontal gyrus,p tri,1,1
inferior frontal gyrus,posterior,1,1
inferior occipital gyrus,secondary visual cortex,1,1
inferior frontal gyrus,ptri pop,1,2
inferior frontal gyrus,rifg,1,1
inferior frontal gyrus,triangular,1,2
inferior frontal gyrus,triangular part,1,1
inferior frontal gyrus,v and dlpfc,1,1
inferior frontal gyrus ba 44,ifg,1,2
inferior frontal gyrus ba 44 50,pars triangularis,1,1
inferior frontal gyrus ba 45,brocas area,1,1
inferior frontal gyrus precentral,pars opercularis,1,1
inferior middle frontal gyrus,area 44,1,2
inferior occipital gyrus,area v5,1,1
inferior frontal gyrus,ptri,1,1
intraparietal sulcus,ips,1,10
intraparietal sulcus,posterior,1,4
intraparietal sulcus and transverse parietal sulcus,ips,1,1
intraparietal transverseoccipital,ipto,1,1
ipc,lipc,1,2
ipc,ripc,1,2
ipc 1,pgp,1,1
ipl,pfm,1,1
ips,ang,1,1
ips,fundus,1,2
ips,posterior,1,3
inferior parietal lobule 1,smg,1,1
itc,ritc,1,2
itg,litg,1,1
itg,ritg,1,1
lat glob pallidus,lentiform nucleus,1,2
lateral occipital,lo itg,1,2
lateral occipital cortex,lo,1,2
lateral occipital cortex,loc,1,1
