lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
occipito temporal junction middle occipital gyrusl middle temporal gyrusl inferior occipital gyrusl superior temporal gyrusl inferior parietal lobe,L,1,1,1.0,1.0
occipito temporal junction middle temporal gyrusr inferior temporal gyrus,R,1,1,0.0,1.0
occipito temporal sulcus,L,1,1,1.0,1.0
occipitoparietal fissure,L,1,1,1.0,1.0
occipitoparietal junction,R,1,1,0.0,1.0
occipitopemporal,U,1,1,0.0,
occipitotemporal,L,1,1,1.0,1.0
occipital temporal gyrus 37,R,1,1,0.0,1.0
occipital temporal lobe 37,R,1,1,0.0,1.0
occipito parietal cortex,U,1,1,0.0,
occipito parietal junction,U,1,4,1.0,
occipito temporal,L,1,1,1.0,1.0
occipito temporal,R,1,1,0.0,1.0
occipito temporal junction,L,1,1,1.0,1.0
occipito temporal junction,R,1,2,0.0,1.0
dorso lateral prefrontal cortex,L,1,1,1.0,1.0
dorso lateral prefrontal cortex,U,1,1,1.0,
dorso medial prefrontal cortex,U,1,1,1.0,
dorso ventral pfc,U,1,1,0.0,
dorsolateral frontal cortex,L,1,1,1.0,1.0
dorsolateral frontal gyrus,R,1,1,0.0,1.0
dorsolateral frontal gyrus,U,1,2,0.5,
dorsolateral pfc,L,1,1,1.0,1.0
dorsal premotor area,U,1,2,0.5,
dorsal sfg,U,1,1,1.0,
dorsal stream,L,1,2,1.0,1.0
dorsal striatum,R,1,1,1.0,0.0
dorsal superior medial frontal gyrus,L,1,1,1.0,1.0
dorsal superior medial frontal gyrus,R,1,2,0.0,1.0
dorsal thalamus,U,1,2,0.5,
dorsalateral prefrontal cortex,R,1,1,0.0,1.0
operculum,R,1,1,0.0,1.0
operculum,U,1,2,1.0,
operculum 41,U,1,1,0.0,
operculum cortex,U,1,1,0.0,
opj,U,1,1,1.0,
opjx,U,1,1,0.0,
optjx,U,1,1,0.0,
dorsal premotor,U,1,1,1.0,
olfactory sulcus,U,1,1,1.0,
ompfc,U,1,1,1.0,
op 3,U,1,1,1.0,
op1,U,1,1,1.0,
operc sii,L,1,1,1.0,1.0
opercular cortex,U,1,2,0.5,
opercular inferior frontal gyrus,R,1,1,0.0,1.0
opercular part of the inferior frontal gyrus,U,1,1,0.0,
orbitofrontal cortex ba 47,U,1,1,0.0,
orbitofrontal cortex1,U,1,1,1.0,
orbitofrontal cortex4,U,1,1,0.0,
orbitofrontal gyrus,B,1,1,0.0,
orbitofrontal gyrus 11,U,1,2,0.0,
orbitofrontal gyrus 47,L,1,1,1.0,1.0
orbitofrontalcortex,L,1,1,1.0,1.0
orbitofrontalcortex,R,1,1,0.0,1.0
orbitofrontal 11,R,1,1,0.0,1.0
orbitofrontal 11 47,L,1,4,1.0,1.0
orbitofrontal ba 11,L,1,2,1.0,1.0
orbitofrontal c,U,1,1,1.0,
orbitofrontal cortex 11,L,1,1,1.0,1.0
orbitofrontal cortex 47,L,1,1,1.0,1.0
orbitofrontal cortex 47,R,1,1,0.0,1.0
orbitofrontal cortex ba 11,R,1,1,0.0,1.0
orbital gyrus,L,1,1,1.0,1.0
orbital gyrus 18,U,1,2,1.0,
orbital gyrus ba 11,U,1,1,0.0,
orbital inferior frontal gyrus,U,1,1,0.0,
orbital medial frontal gyrus,U,1,2,0.5,
orbital middle frontal gyrus,U,1,1,0.0,
orbital superior frontal gyrus,R,1,1,0.0,1.0
orbito frontal region,R,1,3,0.0,1.0
dorsolateral pfc,R,1,1,0.0,1.0
dorsolateral pfc ba 6 46,R,1,1,0.0,1.0
dorsolateral pfc ba 9,L,1,2,1.0,1.0
dorsolateral prefontral cortex,U,1,1,1.0,
dorsolateral prefronatl cortex,L,1,1,1.0,1.0
dorsolateral prefrontal,L,1,1,1.0,1.0
dorsolateral prefrontal,R,1,1,0.0,1.0
orbital frontal lobe,U,1,1,0.0,
paracg,U,1,1,1.0,
paracingulate,R,1,1,0.0,1.0
paracingulate,U,1,2,0.0,
paracingulate cortex,L,1,1,1.0,1.0
paracingulate cortex,U,1,2,0.0,
paracingulate gyrus 32,U,1,1,1.0,
paracingulate gyrus ventromedial prefrontal cortex,U,1,2,0.5,
paracyngulate gyrus,U,1,1,1.0,
paracentral gyrus ba 5,R,1,1,0.0,1.0
paracentral lobe,L,1,1,0.0,0.0
paracentral lobe,U,1,4,0.5,
paracentral lobule 6,U,1,1,1.0,
paracentral lobule ba 4,L,1,1,1.0,1.0
paracentral lobule ba 6,R,1,1,0.0,1.0
paracentral lobule ba 6,U,1,1,0.0,
paracentral lobuleu,U,1,1,0.0,
para cingulate g,U,1,1,0.0,
para hippocampal cortex,R,1,1,1.0,0.0
para hippocampus gyrus,U,1,1,1.0,
paracental lobule,U,1,1,0.0,
paracentral,R,1,1,0.0,1.0
paracentral gyrus,R,1,1,1.0,0.0
paracentral gyrus and sulcus and postcentral sulcus,U,1,1,0.0,
paracentral gyrus ba 5,L,1,1,1.0,1.0
orbitomedial frontal gyrus,B,1,1,1.0,
orbitomedial prefrontal cortex,U,1,3,0.6667,
orbsup,L,1,1,1.0,1.0
otpj,U,1,3,0.6667,
p cingulate,U,1,1,0.0,
pacc,L,1,2,1.0,1.0
pag,U,1,1,1.0,
pallidus,U,1,1,1.0,
dorsal portion of the anterior cingulate cortex,U,1,1,0.0,
dorsal posterior cingulate cortex,B,1,1,1.0,
dorsal posterior cingulate cortex,R,1,1,0.0,1.0
dorsal posterior insula,L,1,1,1.0,1.0
dorsal precentral gyrus,L,1,1,1.0,1.0
dorsal precentral gyrus,R,1,1,0.0,1.0
dorsal precentral gyrus,U,1,1,1.0,
dorsal precentral gyrus and sulcus,U,1,4,0.5,
dorsal medial premotor cortex,U,1,1,1.0,
dorsal mi,U,1,1,1.0,
dorsal occipital cortex,L,1,1,1.0,1.0
dorsal occipital cortex,R,1,1,0.0,1.0
dorsal part,U,1,1,0.0,
dorsal pop,L,1,3,1.0,1.0
dorsal pop,R,1,2,0.0,1.0
dorsal portion of the anterior cingulate cortex,R,1,1,0.0,1.0
parahippcampus,U,1,1,0.0,
dorsal lateral prefrontal cortex 46 10 9,R,1,1,0.0,1.0
dorsal lateral prefrontal cortex 46 9,L,1,2,1.0,1.0
dorsal lateral prefrontal cortex 46 9,R,1,3,0.0,1.0
dorsal lateral prefrontal cortex 9,L,1,1,1.0,1.0
dorsal lateral prefrontal cortex 9 10,L,1,1,1.0,1.0
dorsal medial frontal g,U,1,2,0.0,
dorsal medial prefrontal cortex,L,1,2,1.0,1.0
parahc,U,1,1,1.0,
parahg,R,1,1,0.0,1.0
parahip,L,1,1,1.0,1.0
parahip,U,1,1,0.0,
parahip pocampal gyrus,U,1,2,0.5,
parahip resected area,L,1,1,1.0,1.0
parahipopocampal gyrus,U,1,1,0.0,
parahipp gyrus,U,1,1,1.0,
parahippocampal gyrus ba 19,U,1,1,1.0,
parahippocampal gyrus ba 20,L,1,1,1.0,1.0
parahippocampal gyrus ba 27,L,1,1,1.0,1.0
parahippocampal gyrus ba 28,L,1,3,1.0,1.0
parahippocampal gyrus ba 28,U,1,2,1.0,
parahippocampal gyrus ba 34,L,1,1,1.0,1.0
parahippocampal gyrus ba 35,L,1,1,1.0,1.0
parahippocampal gyrus ba 35,U,1,1,0.0,
parahippocampal gyrus 28,L,1,1,1.0,1.0
parahippocampal gyrus 34,U,1,1,1.0,
parahippocampal gyrus 35,L,1,1,1.0,1.0
parahippocampal gyrus 36,R,1,1,0.0,1.0
parahippocampal gyrus 37 36,L,1,1,1.0,1.0
parahippocampal gyrus 38,U,1,1,1.0,
parahippocampal gyrus amygdala,L,1,1,1.0,1.0
parahippocampal gyrus ba 19,L,1,1,1.0,1.0
parahippocampal area,U,1,1,1.0,
parahippocampal ba 35 36,R,1,1,0.0,1.0
parahippocampal ctx,U,1,1,1.0,
parahippocampal g,L,1,1,1.0,1.0
parahippocampal g ba 35,U,1,1,1.0,
parahippocampal gyrus 19,U,1,1,1.0,
parahippocampal gyrus 20,U,1,1,0.0,
parahippocampal gyrus 27,U,1,1,0.0,
dorsal precuneus,U,1,2,0.5,
dorsal premotor,L,1,2,1.0,1.0
parahippg,U,1,1,0.0,
parahippocamal gyrus,U,1,1,1.0,
parahippocampa,L,1,1,1.0,1.0
parahippocampa,R,1,1,0.0,1.0
parahippocampagyrus,R,1,1,0.0,1.0
parahippocampal 9,U,1,2,1.0,
dorsal frontal cortex,U,1,1,1.0,
dorsal frontomedian cortex,U,1,1,0.0,
dorsal hippocampus,L,1,1,1.0,1.0
dorsal ifg,L,1,4,1.0,1.0
dorsal ifg,R,1,3,0.0,1.0
dorsal inferior frontal g,L,1,1,1.0,1.0
dorsal inferior frontal gyrus,L,1,1,0.0,0.0
dorsal ips,L,1,1,1.0,1.0
dorsal anterior cingulate gyrus,L,1,1,1.0,1.0
dorsal anterior insula,L,1,1,1.0,1.0
dorsal caudate,R,1,3,0.0,1.0
dorsal caudate,U,1,1,1.0,
dorsal central sulcus,L,1,1,1.0,1.0
dorsal central sulcus,R,1,1,0.0,1.0
dorsal central sulcus,U,1,2,0.5,
dorsal cingulate cortex,U,1,1,0.0,
parahippocampus gyrus,U,1,1,0.0,
parahippoccampal gyrus,L,1,1,1.0,1.0
parahoppocampal cortex,U,1,1,0.0,
dorsal amcc,U,1,1,0.0,
dorsal anterior cingulate,L,1,1,1.0,1.0
dorsal anterior cingulate,R,1,4,0.0,1.0
dorsal anterior cingulate ba 24,U,1,1,1.0,
dorsal anterior cingulate cortex 24 32,B,1,1,0.0,
parahippocampal gyrus ba 35 36,R,1,1,0.0,1.0
parahippocampal gyrus ba 36,L,1,1,1.0,1.0
parahippocampal gyrus ba 37,U,1,1,0.0,
parahippocampal gyrus limbic lobe,U,1,1,1.0,
parahippocampal gyrusa,U,1,2,0.0,
parahippocampale gyrus,U,1,2,0.0,
parahippocampalgyrus,L,1,1,1.0,1.0
parahippocampalgyrus,R,1,1,1.0,0.0
dlpfc ba 9,L,1,1,1.0,1.0
dlpfc ba 9 46,U,1,1,0.0,
dlpfc ipl,B,1,1,1.0,
dlpfc lb,U,1,1,1.0,
dlpfc only,U,1,1,0.0,
dlpfc sphere,L,1,1,1.0,1.0
dlpfc sphere,R,1,1,0.0,1.0
dlpfca,L,1,1,1.0,1.0
parietal lobule,R,1,1,0.0,1.0
parietal occipital junction,L,1,1,1.0,1.0
parietal occipital junction,R,1,1,0.0,1.0
parietal occipital sulcus,L,1,2,0.5,0.5
parietal occipital sulcus,R,1,1,0.0,1.0
parietal occipital sulcus,U,1,2,0.5,
parietal operc cx,U,1,1,0.0,
parietal opercular cortex,U,1,1,1.0,
parietal inferior cortex,U,1,1,1.0,
parietal inferior lobe,U,1,2,1.0,
parietal lobe 7,R,1,1,0.0,1.0
parietal lobe ba 7,L,1,1,1.0,1.0
parietal lobe central opercular cortex,L,1,1,1.0,1.0
parietal lobe postcentral gyrus,R,1,1,0.0,1.0
parietal lobe precuneus,L,1,2,1.0,1.0
parietal lobule,L,1,1,1.0,1.0
dorsal lateral occipital cortex,L,1,1,1.0,1.0
dorsal lateral occipital cortex,R,1,1,0.0,1.0
dorsal lateral pmc,U,1,1,1.0,
dorsal lateral prefrontal cortex,L,1,1,1.0,1.0
dorsal lateral prefrontal cortex,R,1,1,0.0,1.0
parietal cortex ba 7,U,1,1,0.0,
parietal cortex ba 7 4,U,1,1,0.0,
parietal eye field,U,1,1,0.0,
parietotemporal junction ba 40,L,1,1,1.0,1.0
parietotemporal junction ba 40,R,1,1,0.0,1.0
pars opercularis,L,1,2,1.0,1.0
pars orbitalis,R,1,2,0.0,1.0
pars percularis,U,1,1,1.0,
pars triangularis of inferior frontal gyrus,L,1,1,1.0,1.0
parsop,U,1,1,1.0,
pcc 23,U,1,1,0.0,
parietal superior lobe,U,1,1,1.0,
parieto occipital cortex,U,1,2,0.5,
parieto occipital junction,U,1,4,0.5,
parieto occipital lobe,R,1,1,0.0,1.0
parieto occipital lobea,R,1,1,0.0,1.0
parieto occipital sulcus,R,1,2,0.0,1.0
parieto occipital transition cortex,U,1,1,1.0,
parieto occipital transition zone,U,1,1,1.0,
dmpfc1,U,1,1,1.0,
dor lat frontal 9,R,1,2,0.0,1.0
dor pcu,R,1,1,0.0,1.0
dorsal acc 32,U,1,1,0.0,
dorsal acc ba 24,U,1,4,0.0,
parietal operculum cortex,U,1,1,0.0,
parietal operculuma,L,1,1,1.0,1.0
parietal superior,L,1,1,1.0,1.0
dlpfcb,R,1,1,0.0,1.0
dlpfcc,U,1,1,1.0,
dlpfcdamh,U,1,2,1.0,
dlprcs,L,1,1,1.0,1.0
dmpfc,B,1,2,0.0,
dmpfc 8,U,1,1,1.0,
dmpfc ba 32,U,1,1,0.0,
dmpfc bi,U,1,1,0.0,
pefs,U,1,1,0.0,
pericalcarine,U,1,1,1.0,
pericalcarine gyrus,L,1,1,1.0,1.0
pericallosal sulcus,U,1,3,1.0,
pericingulate,U,1,1,0.0,
perigenual anterior cingulate,U,1,1,1.0,
peripheral visual cortex cuneus phg,L,1,2,1.0,1.0
peripheral visual cortex cuneus phg,R,1,2,0.0,1.0
pcu 19,L,1,1,1.0,1.0
pcu ba 19 31,U,1,2,0.5,
pcu ba 7,U,1,7,0.5714,
pcun,B,1,1,1.0,
pcun ba 7,L,1,3,1.0,1.0
pdlpfc,L,1,1,1.0,1.0
pdlpfc,U,1,2,0.5,
peak of sub cluster temporal pole,U,1,1,1.0,
pcc precun,U,1,1,0.0,
pcca,R,1,1,0.0,1.0
pcca,U,1,1,0.0,
pcg si,L,1,1,1.0,1.0
pcig 23,L,1,2,1.0,1.0
pcl,L,1,1,1.0,1.0
pcl,U,1,1,1.0,
pcu,B,1,1,0.0,
pcc 30,U,1,1,1.0,
pcc ba 23,L,1,2,1.0,1.0
pcc ba 23,U,1,1,0.0,
pcc ba 29,U,1,1,0.0,
pcc ba 30,U,1,1,0.0,
pcc ba 31,U,1,1,0.0,
pcc dlpfc,U,1,1,0.0,
pcc lingual,U,1,1,1.0,
declive cerebellum,U,1,1,0.0,
declive of cerebellum,R,1,1,0.0,1.0
decreased occipito temporal gyrus,U,1,1,0.0,
decreased ofc,U,1,1,0.0,
default mode network,U,1,1,1.0,
delta extracted from the acc,U,1,1,1.0,
dfc,L,1,1,0.0,0.0
difg,L,1,1,1.0,1.0
phipp,U,1,1,0.0,
dacc ba 32,L,1,1,1.0,1.0
dacc ba 32,R,1,1,0.0,1.0
dacc ba 32,U,1,1,0.0,
dacc sphere,U,1,1,0.0,
dacca,U,1,1,1.0,
dcc,L,1,1,1.0,1.0
declive 19,L,1,1,0.0,0.0
pft,U,1,2,0.5,
pga,U,1,2,1.0,
pgacc dlpfc,L,1,1,1.0,1.0
pgacc ic,R,1,1,0.0,1.0
pha,L,1,2,1.0,1.0
pha,R,1,2,0.0,1.0
phc,R,1,3,0.0,1.0
phg ba 28,R,1,1,0.0,1.0
perirhinal cortex,R,1,1,0.0,1.0
perirhinal cortex ba 36,L,1,1,1.0,1.0
pfc acc,U,1,1,1.0,
pfc anterior,R,1,1,0.0,1.0
pffg,L,1,1,1.0,1.0
pffg,R,1,1,0.0,1.0
pfg,U,1,1,1.0,
pfop,U,1,1,1.0,
pitg,R,1,1,0.0,1.0
pitg,U,1,1,0.0,
planum temporal,L,1,2,1.0,1.0
pm v,U,1,1,1.0,
pmc ba 44 6,U,1,2,0.5,
pmc ba 6,U,1,4,0.75,
pmc ba 6 44,U,1,3,1.0,
pmcv,U,1,2,1.0,
pifg,R,1,1,0.0,1.0
pifg,U,1,1,0.0,
pins,R,1,4,0.0,1.0
pins d,U,1,1,1.0,
pipl,U,1,1,1.0,
pips,R,1,2,0.0,1.0
pips,U,1,2,1.0,
pitg,L,1,1,1.0,1.0
dlpfc ba 10,U,1,1,0.0,
dlpfc ba 46 9,U,1,1,0.0,
dlpfc ba 6,U,1,2,0.0,
dlpfc ba 8 9,L,1,1,1.0,1.0
phpc gyrus,U,1,1,1.0,
pia,R,1,1,0.0,1.0
pib,L,1,1,1.0,1.0
pifg,L,1,1,1.0,1.0
dipfc,L,1,1,1.0,1.0
dipfc,R,1,1,0.0,1.0
dipsa,U,1,1,1.0,
dipsas,R,1,1,0.0,1.0
dipsm,L,1,1,1.0,1.0
dipsm,R,1,1,0.0,1.0
dlpc,R,1,1,0.0,1.0
dlpfc 46,U,1,1,1.0,
cuneus ba 17,R,1,1,0.0,1.0
cuneus ba 17 18 19,B,1,1,0.0,
cuneus ba 18,R,1,1,0.0,1.0
cuneus ba 7,R,1,1,0.0,1.0
cuneus ba 7,U,1,2,0.0,
cuneusa,U,1,3,0.3333,
cuneusb,L,1,1,1.0,1.0
cuneusb,R,1,1,0.0,1.0
pog,L,1,1,1.0,1.0
pog,R,1,1,0.0,1.0
poipst,R,1,1,0.0,1.0
polar mpf dorsal,U,1,1,1.0,
cuneus 18,U,1,1,0.0,
cuneus 7,R,1,1,0.0,1.0
cuneus and lingual,R,1,1,0.0,1.0
cuneus and middle occipital,R,1,1,0.0,1.0
pmvdamh,U,1,1,1.0,
pocg,L,1,1,1.0,1.0
pocg 1,L,1,1,1.0,1.0
pocg 2,U,1,2,0.0,
pocg 3,L,1,1,1.0,1.0
pocg 3,U,1,1,1.0,
pof,U,1,1,1.0,
pofc,U,1,1,0.0,
pmddamh,U,1,2,1.0,
pmdundamh,U,1,1,0.0,
pmfc ba 32,U,1,3,0.6667,
pmtg,L,1,1,1.0,1.0
pmtg,R,1,1,0.0,1.0
pmtg 21,U,1,3,0.3333,
pmv ba 6,U,1,1,0.0,
pmv cl,U,1,1,0.0,
post cingulate cortex,R,1,1,0.0,1.0
post cingulate cortex,U,1,1,1.0,
post cingulate g,R,1,1,0.0,1.0
post cingulate gyrus,L,1,1,1.0,1.0
post cingulate gyrus,U,1,1,0.0,
post cingulate sulcus,R,1,1,0.0,1.0
post inferior temporal sulcus,U,1,1,0.0,
post inferior temporal sulcusc,U,1,1,0.0,
post central cortex,U,1,1,1.0,
post central gyrus ba 4,U,1,1,0.0,
post central gyrus ba 7,L,1,1,1.0,1.0
post cing,L,1,1,1.0,1.0
post cing,U,1,3,0.0,
post cing gy,U,1,1,0.0,
post cingulate,R,1,1,0.0,1.0
post cingulate cortex,L,1,1,1.0,1.0
porb,U,1,1,1.0,
pos cingulate,L,1,1,1.0,1.0
pos cingulate,U,1,1,1.0,
pos thalamus,R,1,1,0.0,1.0
poscentral gyrus,L,1,1,1.0,1.0
posetrior parietal cortex,L,1,1,1.0,1.0
post acc,U,1,1,0.0,
post and pre central gyrus,U,1,1,0.0,
cuneusc,R,1,1,0.0,1.0
d fusiform gyrus,L,1,1,1.0,1.0
d gprc,U,1,1,0.0,
dacc,B,1,1,1.0,
polar mpf middle,U,1,1,1.0,
pon,U,1,1,1.0,
pop,U,1,1,0.0,
porb,R,1,1,0.0,1.0
csma,U,1,1,0.0,
cu ba 19,U,1,3,0.6667,
cu ba 31,U,1,1,1.0,
cul,L,1,1,1.0,1.0
culmen of the cerebellum,U,1,1,0.0,
culmen of vermis,R,1,1,0.0,1.0
culmen of vermis,U,1,1,0.0,
cun,L,1,1,1.0,1.0
post temporal cortex,U,1,1,0.0,
postc g,U,1,1,1.0,
postc gyr,U,1,1,1.0,
postcent,L,1,2,1.0,1.0
postcent,R,1,1,0.0,1.0
crus ii,L,1,1,1.0,1.0
cruz ii,U,1,2,0.5,
csd,R,1,1,0.0,1.0
post parahippocampal gyrus,R,1,1,0.0,1.0
post precentral g,L,1,1,1.0,1.0
post stg,U,1,1,0.0,
post sts,U,1,1,0.0,
post superior temp gyrus,R,1,1,0.0,1.0
post superior temporal gyrus,L,1,1,1.0,1.0
post temporal,L,1,1,1.0,1.0
post temporal,R,1,1,0.0,1.0
post ips,L,1,1,1.0,1.0
post ips,R,1,1,0.0,1.0
post itg,U,1,1,1.0,
post midline region,U,1,1,1.0,
post mtg,R,1,1,0.0,1.0
post occipital,L,1,2,1.0,1.0
post occipital,R,1,1,0.0,1.0
post occipital,U,1,7,0.5714,
postcentral gyrus 7,L,1,1,1.0,1.0
postcentral gyrus and central sulcus,U,1,1,1.0,
postcentral gyrus and superior parietal lobule,L,1,1,1.0,1.0
postcentral gyrus ba 2,U,1,1,1.0,
postcentral gyrus ba 3 4,U,1,1,1.0,
postcentral gyrus ba 4,L,1,1,1.0,1.0
postcentral gyrus ba 7,U,1,1,1.0,
postcentral gyrus lc,U,1,1,1.0,
postcentral gyrus 1 2,R,1,1,0.0,1.0
postcentral gyrus 1 2 3,R,1,1,0.0,1.0
postcentral gyrus 2,L,1,1,1.0,1.0
postcentral gyrus 2,R,1,2,0.0,1.0
postcentral gyrus 2,U,1,1,1.0,
postcentral gyrus 2 1,U,1,1,0.0,
postcentral gyrus 3,L,1,1,1.0,1.0
postcentral gyrus 43,L,1,2,1.0,1.0
cuneus 17,U,1,2,0.5,
postcentr gy,U,1,1,0.0,
postcentral 1,U,1,4,0.5,
postcentral cortex,L,1,1,1.0,1.0
postcentral g ba 4,U,1,1,1.0,
postcentral gryrus,L,1,1,1.0,1.0
postcentral gy,U,1,1,1.0,
postcentral gyr,U,1,2,0.5,
cun,R,1,1,0.0,1.0
cun ba 17,L,1,1,1.0,1.0
cuneal cortex,R,1,1,0.0,1.0
cuneal cx,U,1,1,0.0,
cuneate lobe,L,1,1,1.0,1.0
cuneate lobe,R,1,1,0.0,1.0
cunes,L,1,1,1.0,1.0
cuneus 17,L,1,2,1.0,1.0
cluster 3,U,1,1,0.0,
cluster 4,U,1,1,0.0,
cluster spanning,U,1,2,0.5,
cmiddle frontal gyrus,U,1,2,0.0,
cn v main sensory n,U,1,1,1.0,
collateral sulcus,U,1,2,0.5,
common area,U,1,1,1.0,
contralesional,U,1,8,0.0,
posterior cingulate,B,1,1,1.0,
cingulum ant and,B,1,3,0.3333,
cingulum ba 31,R,1,2,0.0,1.0
cingulum mid 24,U,1,2,1.0,
cingulum middle,U,1,2,1.0,
cingulum post,R,1,1,0.0,1.0
cingulum post,U,1,1,1.0,
cluster 2,U,1,1,0.0,
postcs,L,1,1,1.0,1.0
posterior,R,1,1,0.0,1.0
posterior and middle cingulate cortex,U,1,1,0.0,
posterior calcarine sulcus,U,1,2,1.0,
posterior caudate,L,1,1,1.0,1.0
posterior central gyrus,U,1,1,1.0,
posterior cerebellum,R,1,1,0.0,1.0
posterior cingular,U,1,1,0.0,
postcentral gyrus precentral gyrus,U,1,1,0.0,
postcentral gyrusa,U,1,1,0.0,
postcentral sulcus,R,1,1,0.0,1.0
postcentralgyrus,L,1,2,1.0,1.0
postcentrral sulcus,R,1,1,0.0,1.0
postcg,L,1,1,1.0,1.0
postcg,U,1,1,1.0,
postcgyrs,U,1,3,0.3333,
posterior cingulate gurus,L,1,1,1.0,1.0
posterior cingulate gyrus 23,U,1,1,0.0,
posterior cingulate gyrus 24,U,1,1,0.0,
posterior cingulate gyrus 29,R,1,1,0.0,1.0
posterior cingulate gyrus 29,U,1,1,0.0,
posterior cingulate gyrus 30,L,1,1,1.0,1.0
posterior cingulate gyrus 30,R,1,1,0.0,1.0
posterior cingulate gyrus 31,U,1,1,1.0,
posterior cingulate ba 31,U,1,1,1.0,
posterior cingulate bi,U,1,1,0.0,
posterior cingulate cortex 23,U,1,1,1.0,
posterior cingulate cortex ba 23,U,1,1,0.0,
posterior cingulate cortex ba 30,U,1,3,0.3333,
posterior cingulate cortex ba 31,L,1,1,1.0,1.0
posterior cingulate ctx,U,1,1,0.0,
posterior cingulate g,U,1,1,1.0,
posterior cingulate 30,R,1,1,0.0,1.0
posterior cingulate 31,U,1,1,0.0,
posterior cingulate ba 23,R,1,1,0.0,1.0
posterior cingulate ba 23,U,1,1,0.0,
posterior cingulate ba 23 26 29 30 31,U,1,1,1.0,
posterior cingulate ba 23 31,U,1,1,0.0,
posterior cingulate ba 30,R,1,1,0.0,1.0
posterior cingulate ba 31,R,1,1,0.0,1.0
contralesional psmc,U,1,1,0.0,
convolution,L,1,1,1.0,1.0
corpus callosum,U,1,1,0.0,
cortico spinal tract,U,1,1,0.0,
crus 4 5,U,1,1,1.0,
posterior cingulate 24,U,1,1,1.0,
posterior cingulate 29,R,1,1,0.0,1.0
posterior cingulate 29,U,1,1,0.0,
cingulate gyrus 31,L,1,1,1.0,1.0
cingulate gyrus 31,R,1,1,0.0,1.0
cingulate gyrus 31,U,1,2,1.0,
cingulate gyrus 32,L,1,1,1.0,1.0
cingulate gyrus 32,R,1,2,0.0,1.0
cingulate gyrus 32,U,1,1,1.0,
cingulate gyrus and sulcus,U,1,2,0.5,
cingulate gyrus ba 24,L,1,1,1.0,1.0
posterior hippocampal roia,U,1,1,1.0,
posterior hippocampus,L,1,1,1.0,1.0
posterior inferior frontal gyrus,U,1,1,1.0,
posterior inferior frontal sulcus,L,1,1,1.0,1.0
posterior inferior parietal lobule,U,1,1,1.0,
posterior inferior temporal gyrus,R,1,1,0.0,1.0
cingulate gyrus 24,U,1,1,0.0,
cingulate gyrus 24 31,L,1,1,1.0,1.0
posterior dorsal ifg,U,1,1,1.0,
posterior dorsal part of the cingulate gyrus,U,1,2,1.0,
posterior dorsal putamen,U,1,1,1.0,
posterior edge of the middle temporal sulcus,U,1,1,0.0,
posterior frontal gyrus,U,1,1,1.0,
posterior fusiform,U,1,1,1.0,
posterior fusiform gyrus,U,1,2,1.0,
posterior hippocampal roi,U,1,1,1.0,
posterior cingulate gyrus and precuneus,B,1,1,1.0,
posterior cingulate gyrus ba 23,L,1,1,1.0,1.0
posterior cingulate gyrus ba 29,L,1,1,1.0,1.0
posterior cingulate gyrus ba 29,R,1,1,0.0,1.0
posterior cingulate gyrus bi,U,1,1,1.0,
posterior cingulum,L,1,1,1.0,1.0
posterior cingulum ba 23,U,1,2,0.5,
posterior corona radiata,U,1,1,1.0,
posterior medial frontal,L,1,1,1.0,1.0
posterior medial frontal cortex,U,1,3,0.0,
posterior medial frontal gyrus,L,1,1,1.0,1.0
posterior medial frontal lobe,B,1,1,0.0,
posterior medial gyrus,U,1,1,1.0,
posterior mfg,L,1,1,1.0,1.0
posterior mid cingulate,L,1,1,1.0,1.0
posterior mid cingulate cortex,U,1,2,0.5,
posterior intraparietal sulcus,U,1,2,1.0,
posterior lateral orbitofrontal cortex,U,1,2,0.0,
posterior limb of,U,1,1,1.0,
posterior limb of internal capsule,L,1,1,0.0,0.0
posterior limb of internal capsule,U,1,1,0.0,
posterior lingual gyrus,U,1,2,0.0,
posterior lobe declive,L,1,1,1.0,1.0
posterior lobe of cerebellum,U,1,1,0.0,
cingulated gyrus,R,1,1,0.0,1.0
cingulum,L,1,1,0.0,0.0
posterior inferior temporal gyrus ba 20,U,1,1,0.0,
posterior inferiorfrontal sulcus,B,1,1,0.0,
posterior insular,U,1,1,0.0,
posterior insular cortex,L,1,1,1.0,1.0
posterior intraparietal sulcus,L,1,1,1.0,1.0
posterior intraparietal sulcus,R,1,1,0.0,1.0
cingulate gyrus ba 24 include acc ba 32,R,1,1,0.0,1.0
cingulate gyrus ba 31,L,1,1,1.0,1.0
cingulate gyrus ba 31,U,1,1,0.0,
cingulate gyrus ba 32,U,1,1,0.0,
cingulate motor,U,1,1,0.0,
cingulate sulc,U,1,1,1.0,
cingulate sulcus,L,1,1,1.0,1.0
cingulated gyrus,L,1,1,1.0,1.0
posterior part of middle temporal gyrus,U,1,1,0.0,
posterior part of smtg ba 21 22,U,1,3,1.0,
posterior planum temporale,L,1,1,1.0,1.0
posterior planum temporale,U,1,1,1.0,
posterior prefrontal cortex,R,1,1,0.0,1.0
posterior ramus of the lateral sulcus,U,1,3,1.0,
posterior region,U,1,1,1.0,
posterior rostral medial frontal area,R,1,1,0.0,1.0
posterior parahippocampal gyrus,R,1,1,0.0,1.0
posterior parahippocampal gyrus,U,1,1,1.0,
