lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
extrastriate vis cortex ba 18,Extrastriate vis cortex (BA18),1,LOcC,lateral Occipital Cortex,2.0,2,6,5.17,4,0.3,2,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,205,206,1.0,1.0,1,0.3,0.5,0.1
extrastriate vis cortex ba 19,Extrastriate vis cortex (BA19),1,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_2,A37mv,medioventral area 37,105,106,1.0,1.0,1,0.6,1.0,0.2
extrastriate vis cortex ba 19,Extrastriate vis cortex (BA19),1,IPL,Inferior Parietal Lobule,1.0,1,6,5.3,5,0.375,1,IPL_L(R)_6_1,A39c,caudal area 39(PGp),135,136,1.0,1.0,1,0.375,1.0,0.125
extrastriate vis cortex ba 19,Extrastriate vis cortex (BA19),1,LOcC,lateral Occipital Cortex,2.0,2,6,5.17,4,0.3,1,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,199,200,1.0,1.0,2,0.3,0.5,0.1
extrastriate vis cortex ba 19,Extrastriate vis cortex (BA19),1,LOcC,lateral Occipital Cortex,2.0,2,6,5.17,4,0.3,2,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,205,206,1.0,1.0,1,0.3,0.5,0.1
extrastriate visual cortex,Extrastriate Visual Cortex,3,LOcC,lateral Occipital Cortex,3.0,2,6,4.66,4,0.4167,1,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,205,206,2.0,2.0,2,0.4167,0.6667,0.08333
extrastriate visual cortex,Extrastriate Visual Cortex,3,LOcC,lateral Occipital Cortex,3.0,2,6,4.66,4,0.4167,2,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,199,200,1.0,1.0,1,0.25,0.3333,0.08333
extrastriate visual cortex,Extrastriate Visual Cortex,3,MVOcC,MedioVentral Occipital Cortex,1.0,1,5,4.37,4,0.4285,1,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,197,198,1.0,1.0,1,0.4286,1.0,0.14286
f middle gyrus,R F middle gyrus,1,MFG,Middle Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,MFG_L(R)_7_5,A8vl,ventrolateral area 8,23,24,1.0,1.0,1,0.3333,1.0,0.11111
f middle temporal gyrus,F L Middle Temporal Gyrus,1,STG,Superior Temporal Gyrus,1.0,1,6,5.3,5,0.375,1,STG_L(R)_6_4,A22c,caudal area 22,75,76,1.0,1.0,1,0.375,1.0,0.125
f sup gyrus,L F sup gyrus,2,MFG,Middle Frontal Gyrus,2.0,2,7,6.04,5,0.2727,1,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,15,16,1.0,1.0,1,0.2727,0.5,0.09091
f sup gyrus,L F sup gyrus,2,MFG,Middle Frontal Gyrus,2.0,2,7,6.04,5,0.2727,2,MFG_L(R)_7_3,A46,area 46,19,20,1.0,1.0,1,0.2727,0.5,0.09091
f sup gyrus,L F sup gyrus,2,SFG,Superior Frontal Gyrus,3.0,3,7,6.08,5,0.2308,1,SFG_L(R)_7_2,A8dl,dorsolateral area 8,3,4,1.0,1.0,2,0.2308,0.3333,0.07692
