structure_name,species,source_atlas
"Lateral posterior thalamic nucleus, lateral part",Rat,WaxholmSpace_v4
"Lateral posterior thalamic nucleus, mediocaudal part",Rat,WaxholmSpace_v4
"Lateral posterior thalamic nucleus, mediorostral part",Rat,WaxholmSpace_v4
Lateral septal nucleus (rostral division),Rat,Swanson2018_BrainMaps4
Lateral superior olive,Rat,WaxholmSpace_v4
"Laterodorsal thalamic nucleus, dorsomedial part",Rat,WaxholmSpace_v4
"Laterodorsal thalamic nucleus, ventrolateral part",Rat,WaxholmSpace_v4
Mammillotegmental tract,Rat,WaxholmSpace_v4
Medial entorhinal cortex,Rat,WaxholmSpace_v4
"Medial geniculate body, dorsal division",Rat,WaxholmSpace_v4
"Medial geniculate body, marginal zone",Rat,WaxholmSpace_v4
"Medial geniculate body, medial division",Rat,WaxholmSpace_v4
"Medial geniculate body, suprageniculate nucleus",Rat,WaxholmSpace_v4
"Medial geniculate body, ventral division",Rat,WaxholmSpace_v4
Medial geniculate complex (dorsal division),Rat,Leergaard2023_WHS
Medial geniculate complex (marginal zone),Rat,Leergaard2023_WHS
Medial geniculate complex (medial division),Rat,Leergaard2023_WHS
Medial geniculate complex (ventral division),Rat,Leergaard2023_WHS
Medial habenular nucleus,Rat,WaxholmSpace_v4
Medial lemniscus decussation,Rat,WaxholmSpace_v4
"Medial lemniscus, unspecified",Rat,WaxholmSpace_v4
Medial orbital area,Rat,WaxholmSpace_v4
Medial superior olive,Rat,WaxholmSpace_v4
Median eminence,Rat,Swanson2018_BrainMaps4
Mediodorsal thalamic nucleus,Rat,Leergaard2023_WHS
"Mediodorsal thalamic nucleus, central part",Rat,WaxholmSpace_v4
"Mediodorsal thalamic nucleus, lateral part",Rat,WaxholmSpace_v4
"Mediodorsal thalamic nucleus, medial part",Rat,WaxholmSpace_v4
Middle cerebellar peduncle,Rat,WaxholmSpace_v4
Molecular cell layer of the cerebellum,Rat,WaxholmSpace_v4
Nucleus accumbens (core),Rat,Leergaard2023_WHS
Nucleus accumbens (shell),Rat,Leergaard2023_WHS
"Nucleus accumbens, core",Rat,WaxholmSpace_v4
"Nucleus accumbens, shell",Rat,WaxholmSpace_v4
Nucleus of the lateral olfactory tract,Rat,WaxholmSpace_v4
Nucleus of the stria medullaris,Rat,WaxholmSpace_v4
Nucleus of the trapezoid body,Rat,WaxholmSpace_v4
Nucleus sagulum,Rat,WaxholmSpace_v4
"Olfactory bulb, unspecified",Rat,WaxholmSpace_v4
Optic nerve,Rat,WaxholmSpace_v4
Optic tract and optic chiasm,Rat,WaxholmSpace_v4
Orbital cortex (ventral),Rat,Swanson2018_BrainMaps4
Orbital cortex (ventrolateral),Rat,Swanson2018_BrainMaps4
Paracentral thalamic nucleus,Rat,WaxholmSpace_v4
Parafascicular thalamic nucleus,Rat,WaxholmSpace_v4
Parasubiculum,Rat,WaxholmSpace_v4
Parataenial thalamic nucleus,Rat,WaxholmSpace_v4
Paraventricular hypothalamic nucleus (medial parvicellular dorsal zone),Rat,Swanson2018_BrainMaps4
Paraventricular thalamic nuclei (anterior and posterior),Rat,WaxholmSpace_v4
"Parietal association cortex, lateral area",Rat,WaxholmSpace_v4
"Parietal association cortex, medial area",Rat,WaxholmSpace_v4
"Parietal association cortex, posterior area",Rat,WaxholmSpace_v4
Periaqueductal gray,Rat,Swanson2018_BrainMaps4 | WaxholmSpace_v4
Peripeduncular nucleus,Rat,WaxholmSpace_v4
Perirhinal area 35,Rat,WaxholmSpace_v4
Perirhinal area 36,Rat,WaxholmSpace_v4
Periventricular gray,Rat,WaxholmSpace_v4
Pineal gland,Rat,WaxholmSpace_v4
"Piriform cortex, layer 1",Rat,WaxholmSpace_v4
"Piriform cortex, layer 2",Rat,WaxholmSpace_v4
"Piriform cortex, layer 3",Rat,WaxholmSpace_v4
Pontine nuclei,Rat,WaxholmSpace_v4
Posterior commissure,Rat,WaxholmSpace_v4
Posterior intralaminar nucleus,Rat,WaxholmSpace_v4
Posterior thalamic nuclear group (triangular part),Rat,Leergaard2023_WHS
"Posterior thalamic nuclear group, triangular part",Rat,WaxholmSpace_v4
Posterior thalamic nucleus,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Postrhinal cortex,Rat,WaxholmSpace_v4
Pregeniculate nucleus,Rat,WaxholmSpace_v4
Prelimbic area,Rat,WaxholmSpace_v4
Presubiculum,Rat,WaxholmSpace_v4
Pretectal region,Rat,WaxholmSpace_v4
Pretectothalamic lamina,Rat,WaxholmSpace_v4
Primary auditory area,Rat,WaxholmSpace_v4
Primary motor area,Rat,WaxholmSpace_v4
"Primary somatosensory area, barrel field",Rat,WaxholmSpace_v4
"Primary somatosensory area, dysgranular zone",Rat,WaxholmSpace_v4
"Primary somatosensory area, face representation",Rat,WaxholmSpace_v4
"Primary somatosensory area, forelimb representation",Rat,WaxholmSpace_v4
"Primary somatosensory area, hindlimb representation",Rat,WaxholmSpace_v4
"Primary somatosensory area, trunk representation",Rat,WaxholmSpace_v4
Primary visual area,Rat,WaxholmSpace_v4
Pyramidal decussation,Rat,WaxholmSpace_v4
Reticular (pre)thalamic nucleus,Rat,Leergaard2023_WHS
"Reticular (pre)thalamic nucleus, auditory segment",Rat,WaxholmSpace_v4
"Reticular (pre)thalamic nucleus, unspecified",Rat,WaxholmSpace_v4
Retroreuniens thalamic nucleus,Rat,WaxholmSpace_v4
Retrosplenial dysgranular area,Rat,WaxholmSpace_v4
Retrosplenial granular area,Rat,WaxholmSpace_v4
Reuniens thalamic nucleus,Rat,WaxholmSpace_v4
Rhomboid thalamic nucleus,Rat,WaxholmSpace_v4
"Secondary auditory area, dorsal part",Rat,WaxholmSpace_v4
"Secondary auditory area, ventral part",Rat,WaxholmSpace_v4
Secondary motor area,Rat,WaxholmSpace_v4
Secondary somatosensory area,Rat,WaxholmSpace_v4
"Secondary visual area, lateral part",Rat,WaxholmSpace_v4
"Secondary visual area, medial part",Rat,WaxholmSpace_v4
Septal region,Rat,WaxholmSpace_v4
Spinal cord,Rat,WaxholmSpace_v4
Spinal trigeminal nucleus,Rat,WaxholmSpace_v4
Spinal trigeminal tract,Rat,WaxholmSpace_v4
Spiral ganglion,Rat,WaxholmSpace_v4
Stria medullaris thalami,Rat,WaxholmSpace_v4
Stria terminalis,Rat,WaxholmSpace_v4
Striatum,Rat,Swanson2018_BrainMaps4
Subgeniculate nucleus,Rat,WaxholmSpace_v4
Subiculum,Rat,WaxholmSpace_v4
